Value.BPM,Value.ElapsedTime,Value.Mode,Value.NoteType,Value.NumberOfNotes,Value.NumberOfNotesPerRepetitions,Value.Repetitions,Value.Time,Value.ToolEnded,Value.TrialID,Value.Type
,10136,,hit,,,,2022-09-28 12:23:46 PM,,,RhythmData
100,10777,InvisibleConstant,,15,3,4,2022-09-28 12:23:47 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,10777,,hit,,,,2022-09-28 12:23:47 PM,,,RhythmData
100,0,InvisibleConstant,,15,3,4,2022-09-28 12:24:04 PM,false,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,1992,,hit,,,,2022-09-28 12:24:06 PM,,,RhythmData
,2604,,hit,,,,2022-09-28 12:24:06 PM,,,RhythmData
,3189,,hit,,,,2022-09-28 12:24:07 PM,,,RhythmData
,3857,,hit,,,,2022-09-28 12:24:07 PM,,,RhythmData
,4442,,hit,,,,2022-09-28 12:24:08 PM,,,RhythmData
,5152,,hit,,,,2022-09-28 12:24:09 PM,,,RhythmData
,5807,,hit,,,,2022-09-28 12:24:09 PM,,,RhythmData
,6377,,hit,,,,2022-09-28 12:24:10 PM,,,RhythmData
,7060,,hit,,,,2022-09-28 12:24:11 PM,,,RhythmData
,7686,,hit,,,,2022-09-28 12:24:11 PM,,,RhythmData
,8285,,hit,,,,2022-09-28 12:24:12 PM,,,RhythmData
,8925,,hit,,,,2022-09-28 12:24:12 PM,,,RhythmData
,9565,,missed,,,,2022-09-28 12:24:13 PM,,,RhythmData
,9566,,spam,,,,2022-09-28 12:24:13 PM,,,RhythmData
,10136,,hit,,,,2022-09-28 12:24:14 PM,,,RhythmData
100,10610,InvisibleConstant,,15,3,4,2022-09-28 12:24:14 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,10610,,hit,,,,2022-09-28 12:24:14 PM,,,RhythmData
100,0,InvisibleConstant,,15,3,4,2022-09-28 12:24:21 PM,false,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,1935,,hit,,,,2022-09-28 12:24:23 PM,,,RhythmData
,2590,,hit,,,,2022-09-28 12:24:24 PM,,,RhythmData
,3203,,hit,,,,2022-09-28 12:24:24 PM,,,RhythmData
,3843,,hit,,,,2022-09-28 12:24:25 PM,,,RhythmData
,4497,,hit,,,,2022-09-28 12:24:26 PM,,,RhythmData
,5138,,hit,,,,2022-09-28 12:24:26 PM,,,RhythmData
,5806,,hit,,,,2022-09-28 12:24:27 PM,,,RhythmData
,6460,,hit,,,,2022-09-28 12:24:28 PM,,,RhythmData
,7073,,hit,,,,2022-09-28 12:24:28 PM,,,RhythmData
,7727,,missed,,,,2022-09-28 12:24:29 PM,,,RhythmData
,7755,,spam,,,,2022-09-28 12:24:29 PM,,,RhythmData
,8312,,hit,,,,2022-09-28 12:24:29 PM,,,RhythmData
,8855,,hit,,,,2022-09-28 12:24:30 PM,,,RhythmData
,9468,,hit,,,,2022-09-28 12:24:31 PM,,,RhythmData
,10038,,hit,,,,2022-09-28 12:24:31 PM,,,RhythmData
100,10707,InvisibleConstant,,15,3,4,2022-09-28 12:24:32 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,10707,,hit,,,,2022-09-28 12:24:32 PM,,,RhythmData
,,,,,,,2022-09-28 12:26:01 PM,,d39818f3-fae5-4345-b128-d72d47e8efe0,ApplicationQuit
